what,kind,bundleId,bundleVersion,description,time
java.specification.name,sysinfo,,,"Java Platform API Specification",1375210966398
java.specification.vendor,sysinfo,,,"Oracle Corporation",1375210966398
java.specification.version,sysinfo,,,"1.7",1375210966398
java.vendor,sysinfo,,,"Oracle Corporation",1375210966398
java.version,sysinfo,,,"1.7.0_25",1375210966398
java.vm.info,sysinfo,,,"mixed mode, sharing",1375210966398
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1375210966398
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1375210966398
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1375210966398
java.vm.specification.version,sysinfo,,,"1.7",1375210966398
java.vm.vendor,sysinfo,,,"Oracle Corporation",1375210966398
java.vm.version,sysinfo,,,"23.25-b01",1375210966398
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1375210966689
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1375210966691
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1375210967044
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1375210967100
started,bundle,org.eclipse.cdt.codan.ui.cxx,1.0.0.201102110609,"org.eclipse.cdt.codan.ui.cxx",1375210967170
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1375210967422
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1375210968072
started,bundle,org.eclipse.cdt.scripting,1.0.0.201102110609,"org.eclipse.cdt.scripting",1375210968533
started,bundle,org.eclipse.cdt.core.tests,5.2.1.201102110609,"org.eclipse.cdt.core.tests",1375210968997
started,bundle,org.eclipse.cdt.make.core,7.0.1.201102110609,"org.eclipse.cdt.make.core",1375210969111
started,bundle,org.eclipse.cdt.managedbuilder.core,7.0.2.201102110609,"org.eclipse.cdt.managedbuilder.core",1375210969453
started,bundle,org.eclipse.cdt.core,5.2.1.201102110609,"org.eclipse.cdt.core",1375210969646
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1375210970155
started,bundle,org.eclipse.cdt.ui.tests,5.1.1.201102110609,"org.eclipse.cdt.ui.tests",1375210970647
started,bundle,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui",1375210970999
started,bundle,org.eclipse.cdt.make.ui,7.0.0.201102110609,"org.eclipse.cdt.make.ui",1375210971051
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201102110609,"org.eclipse.cdt.codan.core.cxx",1375210971053
started,bundle,org.eclipse.cdt.codan.core,1.0.0.201102110609,"org.eclipse.cdt.codan.core",1375210971084
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1375211064578
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1375211097955
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1375211123773
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1375211205000
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1375211205045
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1375211269383
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1375211404828
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1375211519302
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1375212330192
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1375212341880
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1375212342045
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1375212370076
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1375212370210
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1375212375664
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1375212382926
